RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
1510,21,Alameda County,County,CA,CA,6,1,498161.0,494710.0,492964.0,493598.0,495044.0,498147.0,499424.0,498153.0,496739.0,495147.0,493786.0,494874.0,1_bedroom.csv
3017,24,Sacramento County,County,CA,CA,6,67,232179.0,231963.0,231879.0,233491.0,235596.0,237497.0,237851.0,238160.0,240103.0,241984.0,243898.0,244223.0,1_bedroom.csv
3159,36,Contra Costa County,County,CA,CA,6,13,480819.0,481281.0,480556.0,477531.0,478478.0,478041.0,475144.0,468679.0,462942.0,462069.0,463084.0,465002.0,1_bedroom.csv
1018,45,Fresno County,County,CA,CA,6,19,138393.0,138634.0,138871.0,139064.0,138806.0,139262.0,140010.0,141249.0,141354.0,141195.0,140404.0,140457.0,1_bedroom.csv
204,61,Kern County,County,CA,CA,6,29,103109.0,103543.0,103863.0,104273.0,105322.0,106907.0,107208.0,106657.0,106175.0,106846.0,108502.0,109627.0,1_bedroom.csv
2061,62,Ventura County,County,CA,CA,6,111,348040.0,347564.0,347541.0,348872.0,349789.0,350451.0,350055.0,349466.0,349119.0,349884.0,350727.0,351878.0,1_bedroom.csv
3227,65,San Francisco County,County,CA,CA,6,75,901406.0,901834.0,901419.0,897222.0,901892.0,905873.0,908881.0,906082.0,905403.0,911407.0,918760.0,929966.0,1_bedroom.csv
2842,81,San Mateo County,County,CA,CA,6,81,681299.0,677583.0,671517.0,670519.0,672192.0,674336.0,673716.0,667532.0,667679.0,664580.0,664284.0,664289.0,1_bedroom.csv
3134,86,San Joaquin County,County,CA,CA,6,77,190835.0,190985.0,192641.0,192273.0,192976.0,193567.0,193910.0,192889.0,192242.0,191737.0,192384.0,193053.0,1_bedroom.csv
3033,124,Stanislaus County,County,CA,CA,6,99,203955.0,204207.0,205385.0,208307.0,211054.0,213767.0,216237.0,219982.0,220901.0,222358.0,222464.0,224081.0,1_bedroom.csv
1396,136,Sonoma County,County,CA,CA,6,97,463919.0,455376.0,449861.0,448766.0,452667.0,457743.0,460033.0,459402.0,455913.0,454482.0,451158.0,449627.0,1_bedroom.csv
